Text,lebel
بگید یه بار بگه ببند,1
"با سلام و تشکر از برنامه پرمخاطب شما آقای رشیدپور، از آقای تابنده سوال بفرمایید چرا از جاذبه‌های شیرگاه سکانسی پخش نشد؟ فوق العاده زیباست شیرگاه",0
خسته نباشید بگین به آقای تنابنده و اینکه خیلی ممنون هستیم که بهتاش وارد فیلم کردین لطفا ۶رو هم باشین خیلی ممنون که لبخند میارین رو لبمون,1
ما که با این فصل یاد قصه‌های ژول ورن افتادیم,1
چرا دخترها دیالوگ نداشتن؟؟,2
بهرام افشاری همدانی هستن؟,0
"در روز مبعث، توی برنامه شاد امروزتون، چرا مرتب اخبار سوریه را زیر نویس میکنید؟؟",2
اقای تنابنده ترفدار کدام تیم اروپایی هستین,0
بپرس دیگه. پایتخت NUM۱ هس؟,0
جناب رشید پور بفرمایین که پایتخت NUM۱ رو قصد ساخت دارن؟,0
�� 💖 💖 💕 💓 💞 💖 💕 💓. گروه پایتخت فرشته‌اند... چطور میشه ازشون قدر دانی کرد...؟؟؟ اینا بازیگر نیستند... فرشته‌اند... فرشته...,1
ببخشید میشه بهشون بگین مثل نقی حرف بزنن یکم خیلی از حرف زدن نقی معمولی لذت میبرم,1
اگه بشه سکانس تغلب را نشون بدید ممنون,1
پایتخت بعدی کی میاد,0
خداقوت به تیم پایتخت بینظیر مثل LINK اقای تنابنده بابت چندتا موضوع باید تقدیر LINK ادب و احترام و توجه به همسر در تمامی شرایط. دوم حفظ جایگاه و مقام پدر. و حفظ موقعیت و مدیریت خانواده,1
لطفا از آقای تنابنده بپرسید چرا در برنامه دورهمی شرکت نکردن؟,2
چرا ارسطو رانیوردین؟؟؟ 😢 😢 😢 😢 😢 😢,2
پیشاپیش در گذشت پنحعلی رو تسلیت عرض می‌کنممم,1
اقای رشید پور اگه میشع بگین یه ذره اجرا کنن,0
وچرا سارا ونیکا دیالوگ ندارن؟,2
بگو دوووغتو بنوووش,1
خیلی ممنون از آقا محسن که در قسمت‌های آخر به بیننده نشون داد که مدافعان حرم در سخترین شرایط برای حفظ ناموس و وطنشون جنگیدن که حتی من و امثال مثل من که فقط از طریق تلوزیون نگاه کردیم چه استرسی بهمون وارد شد... ایشاله همیشه موفق باید... میرزایی,1
میشه بپرسید ک برای کارای جدید ایا تست میگیرن یا نه؟,0
. l. d. n تهرانیه,0
گناه داره پنجعلی رو نکشین,2
بگید یکمی مثل نقی تو پایتخت صحبت کند,1
اون توو پایتخت NUM۱ نقش همسایشون و داشت,0
آقای رشید پور عزیزم من نمی‌دونم با چه زبونی قدر دانی وعلاقه خودمو به شمای عزیز پسر گلم چه کل خانواده پایتخت برسونم به خدا تمام جایزه‌های دنیا براشون کمه که مردمو با این همه گرفتاری پای ص تلویزیون می‌نشونن ومهم‌تر لز همه خنده رو لبهامون می‌نشونن,1
خوشم میاد چجوری داعش رو ترکوندی 😂 😂 😂,1
پایتخت بعدی کی میاد؟؟؟,0
میشه اون دیالوگ معروف پایتخت NUM۱ رو بگه. من باختم بدم باختم,1
آقای تنابنده جایی هست که دوست داشتن تو سریال ۵اضافه یا حذف میکردن؟,0
سلام لطفا از آقای تنابنده بپرسید برای تماس با ایشان چگونه است برای ارایه طرح پیشنهاد پایتخت NUM۱ با تشکر,0
اقای تنابنده از چه طریق با شمال اشنا بودند؟ شنیدم دوره سربازی را در شمال گذروندن؟,0
ازشون بپرسیدچرابجای بیژن اشکورکیایی بهرام افشاری نقش بهتاشوبازی کرد.. چون بر نام عیدپارسالاحسان علیخانی گفته بودن ایشون قرارنقش بهتاش باشن,0
اون تیکه که گفت مادر قهوه ترک,1
ایکاش میشد تو فیلم پایتخت بازی کرد😕 😕 😕 😕,2
چرا دخترها دیالوگ کم داشتن؟؟؟,2
نقییی ناهار نخردمنه,1
"سلام، یه پیشنهاد: قسمت ششم مث پدر خوانده‌ی NUM۱ کلا در فلاش بک روایت بشه",0
راجب نیلوفر رجایی فر هم‌ بپرسین لطفا🙏 🙏,0
درباره موسیقی کتولی علی آباد کتول ازشون بپرسین و اینکه آیا اول قرار بود توی همین شهرستان باشه؟؟,0
اقا از طرف ما یه خسته نباشی قوی بهش بگین,1
سلام عیدتون مبارک آقای تنابنده کشتی گیر هستن؟,0
سلام اقای رشید پور از اقای تنابنده بپرسید پایتخت شش رو سینمایی نکنن. سریال بهتره,2
سلام خدا قوت به شما و مهموناتون.. ممنون از شما😊 ☺😍 🤗,1
پایتخت NUM۱ رو میسازن؟,0
عاشق درگیری با داعش بودم,1
درمورد ترس از داعش بپرسین که خودشون جاهایی شده بترسن؟,0
بپرسین پاینخن NUM۱ رو می‌سازید,0
تورو خدا بگید پایتخت ادامه داشته باشه باور کنید سرگرمیه ما فقط همین سریاله خواهشا این سریال رو از ما نگیرید,1
"ممنون از برنامه‌ی خوبتون، بگین یکم با لهجه‌ی نقی صحبت کنه مرسی💙 💙 💙",1
بگید سری بعد پایتخت رو توی خود علی آباد و با سوژه‌های منطقه‌ای و بومی همونجا با چالش‌ها و کلنجارهای نقی و ارسطو بسازن‌ که مسلما مخاطب بیشتری هم داره,0
سلام بهشون بگین شاید کار شما از مدافعان حرم کمتر نبود چون با سختی کار تونستند گوشه کوچکی از ارزش کاری که اون‌ها انجام دادند را نشون بدهند ویژه ازشون تشکر می‌کنیم.,0
"مثلا امروز عیده، این زیرنویس جنگ رو بردارید، مردم یه برنامه بدون استرس ببینند",2
بهتاش دعوت کنید برنامه,0
لطفا از آقای تنابنده بپرسید لوکیشن جنگ با داعش در کجا قرار داشت؟؟؟,0
آقای رشید پور سلام عرض ادب. به اقای تنابنده بفرمایید چون ما انتقاد محترمانه کردیم که واسه عید عمگین بود و شاد نبود با توجه به سختی‌های سال گذشته مردم حالا بهمون میگن ما از مردم نیستیم؟؟؟ واقعا متاسفم واسه ایشون که قدرت انتقاد از طرف طرفداراشون ندارن.,2
سلام چرا لهجه مازندرانی؟ ولی من خیلی دوسش داشتم عالی بود,1
اقای مجری بگو ما استقلالیا عاشقشیمم,0
پایتخت شیش هم درست میکنند؟؟ شیش ک کمه هفتو هشتم بسازن,0
یکمی مازندرانی صحبت کن نقی😍 😍,1
پایتخت NUM۱ اخر ساخته میشه یا نه؟,0
بپرس پایتخت شش میسازید,0
دست مریزاد جناب تنابنده... مثل همیشه عالی..,1
بپرسید چرا اسمی از شهرری که کارخونه سیمان در اخر فیلم رو در اونجا بازی کردی نمیارید.,0
لحجشون بیشتر مال طرفهای گلستان بود تا مازندران؟؟؟,0
اقای رشید پور از اقای تنابنده بپرسین خوبی خوشی سلامت هستی روبه رشدی,1
بفرمایین چرا صداشون تو فیلم فرق داره با صدای واقعیش,0
�� 💙 💙 💙,1
�� 💙 🌟 👑 🌟 💙 💙,1
منو فالووو کنید پرو فایل پسرونه,0
"سلام، چرا خلق موقعیت‌ها تو کار زیاد",0
بهتاش دعوت کنید,0
بگو باز بیان تو شیرگاه فیلمبرداری کنن لطفا بخونید,0
ایا پایتخت NUM۱ ساخته میشود,0
سلام بپرسید بالاخره مدرک داوری رو گرفتن,0
بالاخره سارا رحمان یا نیکا رحیم 😜 😄,1
"ازشون بپرسید، اون پسر ک قرار بود جای بهتاش بیارید تو برنامه احسان علیخانی بهش قول دادین چی شد؟؟؟",0
بگو چه طوری شیش تا خوردی,1
بهتاش دعوت کنیین,0
میشه مثل نقی صحبت کنند,0
سلام چرا سارا و نیکا رو دعوت نکردید آقای رشید پور حسن از کرج خیلی زحمت کشیدن,0
پایتخت بعدی ساخته میشه؟,0
چرا بهبود حذف شد,0
ازآقای تنابنده بپرسید چطور تشنج‌میکرد,0
تولد آقا محسن و بهشون تبریک بگین,1
بهبودم خیلی مسخره از فیلم رفت,2
پایتخت NUM۱ هست,0
از اقا تنابنده بپرسید چرا اسم سریال شد پایتخت؟,0
سلام لطفا ازشون سوال کنین سکانس بالون را تو ترکیه بازی کردن؟,2
لطفا بپرسید آیا آقای تنابده اسلامشهری,2
بگید سکانس من باختمو بازی کنه😂 😂,1
پایتخت ۴۴۴,2
سلام بپرسین صداش چجور فرق داره؟,2
برنامتون برای آینده کاری چیه؟,0
اگه میشه بپرسید پایتخت NUM۱ هم میسازید؟,2
ازشون بخوایید یه بار دعواتون کنه تو برنامه,0
اقا شاگرد نمیخااان؟,0
۶ میسازن؟؟؟,0
ویورر و دوشکارر رو بی زحمت بخوایین ازشون که بگن,0
سلام آقای رشید LINK از جناب تنابنده بپرسید اگه ایده داشته_باشیم برای پایتخت NUM۱ چه جوری می‌تونیم این ایده‌ها رو بهشون انتقال بدیم,0
اقای رشید پور عزیز از اقای محسن تنابنده عزیز سوال بفرمایین فرمایش‌های شما راجب دیدگاهها و نظرات بجا و محترم روند سریال هم شوخی و خوشمزگی بود در مورد سوژه جنگ ولی کاملا در قسمتهای اخر مشهود سفرشی بودن دیالوگ‌ها نظرشون راجب این موضوع چیه با تشکر,0
خیلی سریال خوبی من یکی که از گوشی هرکی تو خانوادم به سریالشون رای دادم مشتاقانه منتظر پایتخت ۶هستم خواهشمندمدکه حتما بسازید خیبی سریال خوبی هست❤❤,1
"من خودم یک مازندرانی هستم، وخیلی خوشحالم بابت سریال پایتخت، متشکر وممنونم از آقای تنابنده",1
آقای رشیدپور بپرسین بازیگر نوجوان نمیخوان؟؟؟,0
سلام اقای رشید پور من از دست اقای تنابنده خیلی ناراحت هستم ایشون وقتی بیمارستان کیان بستری بود خیلی خودشو میگرفت چند تا از پرسنل که میخواستن با ایشون عکس بگیرن نمیگذاشت ممنون میشم این پیام رو حتما حتما مطرح کنید پرسنل بیمارستان کیان,2
"بپرسید انتخاب اسم سریال واسه چی بوده؟ چون هیچ ربطی به پایتخت نداره، موضوع و فضاش که مازندرانه، چه ربطی به پایتخت داره؟؟؟",0
پایتخت NUM۱ ساخته میشه یا نه؟,0
کی می‌سازه,0
و بپرسین پایتخت NUM۱ هم ساخته میشه,0
به محسن جان بگو خواهشااا پایتخت رو تا NUM۲ اینا بسازین و منم به عنوان بازیگر استفاده کنن اگه میشه؟ 😌 😌 😂 😂,0
تروخدا بپرسین,2
لطفا این سوالو بپرسید ;شما رفتین داغدنو در ب در شدین تو سوریه... شانس اوردین زود برگشتین و اگه نه الان که امریکا حمله کرد بیچاره میشدین.. بگو ممت نامرد ی خبر نباید از شما میگرفت؟؟؟!!!,2
از پایتخت۶بپرسین لطفا,0
چقدر عوض شده محسن,0
چند سالشونه؟؟؟,0
به اقای تنابنده بگید فوق العادست,1
اقای محسن تنابنده بامو خیلی خیلی جوانتروجذابتره,1
بپرسید فوتبال خارج نگاه میکنن؟,0
سلام از نقی بپرسید با افزایش دلار چیجوری پول ارسطو میخواین بدین,1
داعشی‌ها چطور درست کردند,0
اسم پسرش چیه چند سالشه... عاصی,0
بگید جدی شمالی یه زره حرف بزنه,0
میشه چند دقیقه نقی باشن,1
رئالین؟,0
پایتخت NUM۱ ساخته میشه؟؟؟,0
میشه راجب بهتاش بهرام افشاری بپرسین از اقای تنابنده,0
لطفا بگید مازندرانی صحبت کنن یکم,0
بپرسید جلوه‌های ویژه چطور کار شده_بود,0
آقای طنابنده بچه کدوم شهر هستن؟ محل تولدشون؟,0
حدودا پایتخت بعدی کی استارت میخوره؟ امسال یا سال دیگه؟,0
پایتخت NUM۱ رو کی میسازن؟؟؟,0
من شیرگاهی ام بگو از خوبی‌های شیرگاه بگه,0
سلام از آقای تنابنده بپرسید برای پایتخت۶ تست بازیگری میگیرن,0
با سلام و LINK از آقای تنابنده سوال کنید مشهدی هم بلد هستند؟,0
"سلام، از مهموناتون تشکر کنین، خانواده معمولی توی ذهن ما رنگ واقعیت دارن و اونقد باورپذیر بازی کردن که دوست داریم سریال ادامه داشته باشه",1
لطفا جواب بدید,2
فقط سکانس برتر بهتاش,1
مجری داش بگو ما استقلالیا عاشقشیم 💙,1
آقای تنابنده رئالی هستن یا بارسایی,0
بپرسین فهیم بدن به رحمت پایتخت NUM۱ بده بره ه ه,1
پایتخت از این به بعد از سینما پخش میشه؟,0
پایتخت شیش رو میبینیم انشالله؟,0
لحجشون بیشتر به گلستان میخوره تا مازندران,0
پایتخت NUM۱ بسازن لطفااا,0
بپرس چرا دو روز رفت موهات ریخت,2
آقا بگید توروخدا پایتخت شیش رو بسازن,0
سلام پایتخت NUM۱ ساخته میشه؟,0
آقای تنابنده بچه کجاس؟,0
فصل NUM۱ لطفا🙏,1
چرا سارا نیکا دیالوگ نداشتن زیاد,2
فرداتولداقای تنابنده است بهشون تبریک بگید,1
خدا قوت اقای تنابتده و تیمتون واقعا دستتون درد نکنه با این زحمات فراوان خنده رو به لب مردم اوردید و خاطره ساختین. ایشالا همیشه در اوج بمونید,1
اقای تنابنده یکم با لهجه‌ی نقی صحبت کنید الان 😁,1
یکم با لهجه صحبت کنن,1
سلام و خسته نباشین... پایتخت NUM۱ رو میسازن؟؟,0
آقای رشیدپوراز آقای محسن تنابنده بپرسیددرخانه خودشون چه اخلاقی دارند,0
خسته نباشید.. بپرسید قبل از پایتخت NUM۱ منتظر فیلم سینمایش باید باشیم یا حتی فیلم سینمایی دیگری از ایشون؟,0
بهشون بگین مازندرانی حرف بزنن,0
۶۶۳۲۷۴ بو دماغ سوخته میاد,1
اون انگلیسیه😅 😆 😆,1
بپرسین پایتخت ۶ساخته میشه,0
پایتخت NUM۱ در راهه؟,0
یه بار بگه دوغتو بنوش,1
بگو ما استقلالیا عاشقشیممم💙,1
چرا ارسطو رو نمیاربن تو برنامه,2
پایتخت ۶۶۶,0
به زبان مازندرانی صحبت کنن,0
خیلی دو قسمت اخر خوب نبود,2
پایتخت۶هم‌میسازین؟ کی؟,0
عیدتون مبارک,1
دوغتو بنوش,1
پایتخت NUM۱ ساخته میشه؟,0
آقای رشید پور از آقای تنابنده بپرسین بازیگر نوجوان نمیخوان؟؟؟,0
ارسطو را بیاوریم,0
بیششش از حد دوست داریم,1
بهش بگین؛ تو چنین خوب چرایی؟!,1
انشا الله,0
�� 💙 🌟,1
اقای تنابنده اسلامشهری هستند؟!؟!؟!,0
پایتخت NUM۱ و میسازن؟؟؟,0
بهش بگو پایتخت NUM۱ ساخته میشه آیا؟؟,0
۶ میسازن؟,0
ازش بپرس خسته نشد از کل کل با ارسطو؟؟؟ بگو لطفا دیگه ارسطو رو زن بدن بره واسه پایتخت بعدی,1
پایتخت NUM۱ هم میسازن؟؟,0
ازشون بپرسید سکانس بالن چجوری انجام دادن,0
بهشون بگید یکم مازندرانی تو برنامتون حرف بزنن,0
به این همه استعداد غبطه میخورم دم‌شما گرم‌,1
بهشون بگین فصل NUM۱ رو بسازن مردم میخواننن,0
"سلام، ببخشید بپرسید پایتخت ۶کی ساخته میشه مرسی",0
وااای خیلییی خوب و نابغه ان آقای تنابنده,1
چرا سارا و نیکا اصلا حرف نمیزنن؟؟,2
پایتخت NUM۱ کی استارت میخوره,0
فصل ۶,0
ازشون بخوایید ی تیکه از برنامه رو با لحن نقی معموای باهات مصاحبه کنن دلمون براش تنگ شده,1
بهتاش خیلی بی مقدمه اومد تو فیلم,0
یه دونه بگو بگه نقی اخ که چقدر تو باهمه اینجوری هستی همه با تو اینجوری ان,0
همه خانواده ما تو بد‌ترین شرایط سریال شمارو میبینیم و حالمون واقعا خوب میشه. خواهش مون اینه که پایتخت رو ادامه بدید. عالی بودید,1
پایتخته۶بسازید🙌 ❤,1
بپرسین بدلکارتون رو چطوری پیدا کردید خیلی شبیه خودتون باشه اونجا که داعشی رو فیتیله پیچ کرد زد زمین,1
أیا پایتخت NUM۱ ساخته میشه,0
رحمت شمالیه...,0
زنده باشید آقای تنابنده واقعا عالی هستید,1
چجوری تو ۶تا خوردی,0
وای که خیلی خوشحالم البته با اقای رشید پور حالا خورشید حالا خورشیده.,0
عااالیه,1
اگه رشید پور باشه نگاه میکنم,0
"چقدر خوشحالم، هورااا، 👍 👏 👌 👌 🌹 🌹 🙋 💃 💃 💃 🙋 💕 👍 👍",1
براووو,1
چقدر دلمون برا برنامتون تنگ شده خوشحالمون کردید انشالله با حضور اقای رشید پور باشه,1
وای عالیه باورم نمیشه عجب سورپرایزی ممنون,1
سلام به شنبه آقای رشیدپور رسیدن بخیر 😃,1
انشاالله مجری برنامه اقای رشید پور باشن 🌺 🌺 🌺,1
۱۳۴۹ کانال سه بود البته اونموقع ۷ونیم شروع میشد,0
واقعا دلمون براتون تنگ شده اقای رشید پور,2
آقای تنابنده. هنرمند سنگ اول. هنرمند مردمی. شنبه بیایید و بگویید چرا...؟,2
با سلام خو شحالم از شروع دوباره حالا خورشید با حضور اقای رشید پور,1
"عالیه، ممنون از برنامه حالا خورشید و مجری توانمند جناب آقای رشیدپور عزیز",1
"وای چه عالیه، به به جناب آقای رشیدپور، سپاس👌 👌 👌 👌 👌 👏 👏 👏 👏 👏",1
خدایش کدوم مجری بهتر از آقا رضا و پرویز جان میتونی با این مهمان و هنر مند اجرا داشته باشه که جذاب باشه,1
رضا نباشه عشق نیست,2
چرا ده صبح؟؟؟ من با حالا خورشید صبح حاضر میشدم برم سر کار؟؟؟ 😕,2
حالا خورشید بدون رشید پور یعنی حالا غروب,2
بیردنه سن رشیدپور یاشا یاشا,1
اقای رشید پور خیلی مخلصیم,1
عالیه ممنون 👌 👌 👌 👌 👌 👌,1
ممنون آقای رشید پور عزیز که دوباره شما رو تو قاب تلویزیون میبینیم سپاس👏 👏 👏,1
خیلی خوشحالم این مجری تواناودوستداشتنی رلدوباره میبینم,1
�� 😍 😍,1
هیچ خبری این قدر خوشحالم نمی‌کرد,1
تشریف بیارن مامنتظریم😂,1
آقااای رشید پور بیا که هوادارات یه جا جمع شدن چشم انتظار,1
محمد اصفهانی,0
منم همینطور,0
لایک پست خوبی بو,1
بابا گند زدین الان دارم میبینم اقای رشید پور نیست دیگه این برنامه لطفی نداره 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡 😡,2
واااو عشقم اومد,1
آقای رشیدپورنبودین برنامتون لطفی نداشت,2
ممنونم ازدعوت شماازمهمانهای عزیزودوست داشتنی,1
عاشق دکتر اصفهانی و صدای زیباشونم. ایشالا همیشه سلامت باشن,1
باسلام اگرمیشه از آقای دکتر اصفهانی اسم دکتر طب سنتی را بپرسید و اعلام کنید,0
خوش برگشتین جناب رشید پور 🌺 🌺 🌺 🌺 🌺,1
خاک تو سرتون یه مهمون میخان بیارن نیم ساعت طولش میدن هی این استودیو اون استودیو میکنن,2
تورو خدا بگید پایتخت NUM۱ بسازه,0
@,0
خوششش آمدید,1
ارزوی موفقیت روزافزون خوش امدید ب,1
از این که برنامه خوبتون دوباره شروع میشه خیلی خوشحالم,1
ممنون 😍 😍,1
کدوم شبگه هست من از سال NUM۲ تی وی میلی نگاه نکردم,0
عااالیه خوش اومدین آقای رشید پور برقرار باشیدا,1
تبریک جناب آقای رشید LINK قوت,1
ایول😍,1
باورم بشه اقارضا میاد؟ چون فقط با اقارضا میشه دید و گرنح دلم نمیخاد راستش,1
از محمد اصفهانی دعوت نکنین,2
بسیار عالیه که برنامه ساعت NUM۲ شروع میشه خیلی خوش اومدین جناب رشید پور (یعنی خوش میاین 😁),0
�� 👋 👋 👋 👋 🙏 🙏 🙏 🙏 🌹 🌹 🌹,1
واقعا می‌ایید شادمون کردید ممنون 👏 👏 👏 👏 👏 👏 👏 👏 👍 👍 👍 👍 👍 👍,1
بهتراز گذشته انشاا,1
روز شنبه عجب برنامه‌ای میشه... عالی مرسی❤💖 ❤💖 ❤👌 👌 👌 👌,1
"خوش آمدید ,خوشحالمون کردید,,,این خبر بهترین عیدی بود",1
سلام LINK LINK LINK.,0
آخه ساعت ده صبح کی میخاد برنامه‌های شما رو ببینه,2
به اروز م رسیدم با دیدن اقای اصفهانی بی صبرانه منتظریم,1
خدارو شکر دیگه از برنامه تلویزیون حالمون داشت بد میشد بخصوص صبح,1
این بهترین خبرهست سلامت وپاینده باشی آقای رشیدپور دوست داشتنی قدم مهموناتونم روچشم ما توفقط بیا👌 💚 👌 👌 👌 👌 👌 🌷 🌿 🌷 🌿,1
مهمانهای عزیزی هستن... ولی من یه هدیه دارم,1
خبر بسیار خوبی دادی سلامت و موفق و پایدار باشین,1
عیدی بسیار ارزشمندی ست جناب رشید پور,1
عالی ک برگشتین🌺 🌺,1
خیلی خوشحال شدم دستتون درد نکنه با این خبر خوبتون البته با حضور اقای رشید پور وگرنه نگاه نمی‌کنم,1
�� 👏 👏 👏 👏 👌,1
ریما رامین فر,0
خیلی خوشحالم که دوباره تو این برنامه حالا خورشید ببینمتون.,1
چه خوب خدا حفظت کنه پر جان,1
اخ جووون حالا خورشید👍 🏻 👍 🏻 👍 🏻 👍 🏻,1
خیلی خوشحال شدم. بسیار عالی اگه با اجرای آ قای رشید پور باشه,1
"بسیار عالی، ممنون از اینکه به نظر بیننده هتون اهمیت میدین✌",1
عالیه که برگشتید,1
چه عالی😍 😍,1
۳۳۰,0
علی کوچولو فوت شد و روسیاهیش واسه کسایی ک اهمیتی ندادن بهش حمایتی نکردن ازش,2
اگه اقای رشید پور نباشه نگاه نمیکنم,2
حتما حتما حتما باید آقای رشید پور باشه وگرنه نگاه نمیکنیم,2
آقای رشید پور هستن.؟؟؟,0
پس اینکه میگفتن به خاطر حواشی جشنواره فجر در حالا خورشیدو برای همیشه تخته کردن دروغ بود طبق معمول!؟,2
خبر خیلی خوبی بود,1
جناب رشید پور نباشن برنامه حالا خورشید مفهومی نداره و مخاطبین کمی خواهد_داشت.,2
فقط برنامه با حضور اقای رشید پور جالبه ولا غیر,0
آخ جون... آقای رشیدپور مجری هستن... من فکر کردم دیگه برنامه ندارین از کانال اومدم بیرون,1
بسیارخوب عالی,1
آخ جووون بازم حالا خورشید😄 😄 😄,1
هورا حالا خورشید اومد,1
آقای رشید پور عزیز مبارک باشه این ایام,1
چه عالی خوش اومدین دلمون تنگ شده_بود 💙 💙 💙 💙 💙 💙 💙 💙 👌 👌 👌 👌 👌 👌,1
اگر اقای رشیدپور نباشه من نگاه نمیکنم حالا خورشید بدون. کاپیتان رشید پور محال نگاه کنم,2
ت,0
عالیه👍 👍 👍 🙏 🙏 🙏,1
بهترین برنامه پر انرژی ومثبت صدا وسیما برنا مه حالا خورشید,1
وا قعا با این برنامه حالمون خوب میشه روز مونو با روحیه شروع میکنیم. ازتون ممنونیم که دوباره LINK خورشید,1
خوش امدید,1
خیلی عالییی👌 👌 👌,1
مگہ کی قرارهست مجری باشد,0
خیلی خوشحال شدم البته اگه اقای رشیدپور باشه,1
وای چه عالی دستتون دردنکنه,1
"، زاآاء",0
یعنی همین شنبه؟,0
"یعنی حالا خورشید شروع میشه دوباره،، اخه آقای رشید پور گفته بودن دیگه برنامه مون تموم شده، اخی خدایا شکرت،،",1
"البته اگه خوده آقای رشید پور باشه دوست داشتنی میشه،، وگرنه با اون ترابیان نه اصلا دیدنی نیس",2
به به دمتون گرم چقدر خوشحال شدم ممنونم اقا رضا,1
چه خبر خوبی و حتما با آقای رشیدپور عزیز,1
شنبه که تعطیل,0
بنده خدا مردم مظلوم و... این دنیای عجیب وغریب کاری بامردم ماکرده که به این برنامه دلخوش کردن که چی حالا مثلا این چندوقت نبود چی شد باباجون فکرنان باشید که خربزه... خداعاقبت همه مونو بخیرکنه,2
هورررا,1
هورا... اخ جون حالا خورشید شروع شد... از یکشنبه همون NUM۱ شروع میشه؟,1
خداروشکر 👌 😊,1
الهی شکر 😊 😊 😊,1
"باسلام ,لطفا حالا خورشید را برای خارج نشین‌ها هم پخش LINK سپاس حمید قره با غی از بریتانیا.",0
واقعا. اخ جون,1
وای چقدر خوب,1
آقای رشید پور هستن؟,0
دمن گرم... مرسی,1
وای چه عالی آقای رشید پور عزیز👍 👍 🌹 🌹 🌹 🌹 🌹,1
من نگاه نمیکنم اگر جناب رشید پور نباشه,2
اقای رشید پور تبریک خیلی خوشحال شدم,1
فقط باآقای رشیدپور.,0
"چه خوووب، فقط یکی بگه مجری جناب رشید پورن انشاالله؟؟؟",1
عالیه.,1
مجریش اقای رشیدپور هستن؟,1
تو را من چشم در راهم ☘☘☘,1
عالیه خیلی خوشحالم مانا باشین جناب رشیدپور,1
سلام اقای رشید پور پس سال جدید انشاالله حالا خورشید بر قراره؟,0
اگه برنامه هایی مثل حالا خورشید باشه که مردم مشکلات اجتماعیشون رو بگن دیگه به پیام رسانای خارجی رو نمیارن,0
عااالیه. عاااشق برنامه زیبای اجتماعی حالا خورشیدم. مرسی که بازم هستییین,1
اقای رشید پور خوشحال شدیم دوباره برنامه شما را میبینیم. تشکر الهی همیشه برنامه پایدار باشد🌹,1
بی صبرانه منتظر دیدن حالا خورشید با اجرای آقای رشید پور و آقای نشاط هستیم 🌞 🌞 🌞,1
بدون رشید پور هرگز,1
اقای محسن تنابنده,0
۵۴۳۰ خیلی عالیه خدا را شکر,1
آقای محسن تنابنده,0
خیلیم عالییی واقعا برنامەی پر بینندە هستش خدایی دلمون واسە بنامەتون و اقای رشید پور و اقای نشات تنگ شدە 👏 👏 👏 👏 👏,1
یعنی رشید پور مجریشه خدا کنه,0
ای جان حالا خورشید شروع شد,1
ماهم بیصبرانه منتظرتونیم ایول,1
مجری کیه,0
عههه LINK من صبحا که بلند میشم تلویزیونو روشن میکنم میبینم هیچ جا هیچی ندارههه واقعا قدر حالا خوردشیدو میدونم😍 عشقی رشید پور😍,2
خوش اومدید.. بازم انرژی به خونه ما برمیگرده مطمئنن وقتی مامانم بفهمه اقای رشید پورو برنامه عالیشون صبحا میتونه ببینه,1
خیلی عالی🙏 🙏 🙏 🙏,1
"مرسی از انتخاب خوبتون چقدر عالی که دوباره حالا خورشید، ساختین مرسی",1
یعنی آقای رشید پور مجری برنامه هست اگه آقای رشید پور مجری برنامه برنامه حالا خورشید نباشن من اون برنامه رو نگاه نمیکنم,0
آقای محسن تنابنده البته با مجری جدید,0
مهمترین سوالی که از دکتر اصفهانی میشه پرسید این که چرا خیلی وقته نمیخونه؟,0
بهتر از این نمبشه,1
ای جونم خیلی خوشحالم ممنون که خوشحالمون کردید.,1
آقای رشید پور نباشه اون برنامه فکر نکنم مثل اولش بیننده داشته باشه مطمئنم 😑 😑 😑 😑 😑,2
خیلی خوشحالمان کردید.,1
خیلی خوشحالمون کردید به امید دیدار ترخدا بازم از اینستاگرام مستقیم نشون بدید منتظرتون هستیم,1
"وای جدی فصل جدید در راهه، آقای رشیدپور که گفتن سال جدید برنامه ندارن، تصمیم دارن به مطالعه و ادامه تحصیل بپردازن، خبر خوبی بود",1
ای ول عشقید بخدا عششق خیلی خوشحال شدم اشک شوق میریزم,1
هووورااا نقی 😍 😍 👍 👍,1
سلام این برنامه سری جدید قراره کی شروع بشه,0
یعنی اقای رشید پور نیست؟ حالاخورشیدبدون اقای رشید پور معنی نداره,2
مرسی ک برگشتین لطفا آقای تنابندرو بیایرین🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻,1
دمت گرم آقا رضای رشید پور 💟 💖 💛 💓 💜 عق,1
عشقی عشق,1
چه عالی کلی خوشحال شدم که دوباره برنامه حالا خورشید اجرا میشه👍 👍 👍 👍,1
مرسی اقای رشید پو ر خیلی خوشحال شدم,1
اخ جون,1
اخ جون من بچه‌ام ۸ماهشه حالا خورشیذ دوست دازه,1
"امیدوارم خودتون هم باشین جناب رشیدپور، وگرنه همون بهتر که برنامه دیگه نباشه، من قبلا پنجشنبه‌ها هم که نبودین نگاه نمیکردم، کسل کننده بود",1
آاااخ جون خیلی خوشحال شدم... دم همگی حالا خورشیدیا گرررم👌 👌 👌 👌 🙌,1
وای خدایا حتما باید ببینم,1
مرسی ک هستید🤗🤗🤗,1
چقدر خوشحالمون کردید با شروع برنامه جدید,1
نه بابا دوروغه,2
